       P1  P2  P3  P4  Q1  Q2  S1  S2  S3  S4  T10  T11  T12  T13  T14  T15  T17  T18  T19  T20  T21  T22  T23  T24  T25  T26  T27  T8  T9  Total
P1      0   0   0   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    0  
P2      1   0   0   0   0   0   1   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    2  
P3      0   1   0   0   0   0   0   1   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    2  
P4      0   0   0   0   0   0   1   1   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    2  
Q1      1   0   0   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
Q2      0   0   0   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    0  
S1      0   0   0   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    0  
S2      0   2   0   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    2  
S3      0   0   2   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    2  
S4      0   0   0   2   0   0   0   0   1   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    3  
T10     0   0   0   0   0   0   0   1   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T11     0   0   0   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    0  
T12     0   0   0   0   0   0   0   1   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T13     0   0   0   0   0   0   0   1   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T14     0   0   1   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T15     0   0   0   0   0   0   0   0   1   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T17     0   0   1   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T18     0   0   0   0   0   0   0   0   1   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T19     0   0   0   0   0   0   0   0   1   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T20     0   0   0   0   0   0   0   0   0   1   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T21     0   0   0   0   0   0   0   0   0   1   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T22     0   0   0   1   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T23     0   0   0   0   0   0   0   0   0   1   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T24     0   0   0   0   0   0   0   0   0   1   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T25     0   0   0   1   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T26     0   0   0   0   0   0   0   0   0   1   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T27     0   0   0   0   0   0   0   0   0   1   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T8      0   1   0   0   0   0   0   0   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
T9      0   0   0   0   0   0   0   1   0   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0    1  
Total   2   4   4   4   0   0   2   6   4   6   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   0   32  
